,v_state,t_state,county,tweets_count,ADI,month,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,administered_dose1_pop_pct_12,administered_dose1_pop_pct_01,administered_dose1_pop_pct_02,administered_dose1_pop_pct_03,svi_ctgy,metro_status,census2019,Dominant Topic
3459,GA,Georgia,Upson County,1,82.0,3,0.030303746,0.030303445,0.03030343,0.030303409,0.030303489,0.030303948,0.030303461,0.030303923,0.696963489,0.030303426,0.030304272,0.0,8.4,11.3,18.4,D,Non-metro,26320,9
3460,UT,Utah,Utah County,6,33.0,1,0.015657686,0.015657684,0.036744433,0.047776685,0.035530045,0.106213052,0.015657722,0.13566906,0.235508851,0.131501,0.206629304,0.0,4.6,7.2,14.1,B,Metro,636235,9
3461,UT,Utah,Utah County,50,33.0,2,0.08344677,0.070974257,0.063637847,0.060878102,0.090717782,0.066343232,0.056700101,0.090182274,0.138100042,0.083554444,0.175536752,0.0,4.6,7.2,14.1,B,Metro,636235,11
3462,UT,Utah,Utah County,283,33.0,3,0.082108435,0.054898416,0.052222471,0.060823664,0.086322809,0.125306996,0.071623847,0.064266597,0.175344873,0.055993492,0.145242148,0.0,4.6,7.2,14.1,B,Metro,636235,9
3463,TX,Texas,Uvalde County,1,77.5,1,0.433285683,0.0,0.0,0.162481904,0.081888817,0.0,0.0,0.0,0.286968023,0.0,0.0,0.0,0.0,0.0,0.0,D,Non-metro,26741,1
3464,TX,Texas,Uvalde County,3,77.5,3,0.012627439,0.19341784,0.012628409,0.012627719,0.012627926,0.012627455,0.012627554,0.012630637,0.624381413,0.012627487,0.066021062,0.0,0.0,0.0,0.0,D,Non-metro,26741,9
3465,TX,Texas,Val Verde County,3,80.5,2,0.188985099,0.003371038,0.089372699,0.097037867,0.108250366,0.003371002,0.099862027,0.098765302,0.139117763,0.038608056,0.101249864,0.0,0.0,0.0,0.0,D,Non-metro,49025,1
3466,TX,Texas,Val Verde County,4,80.5,3,0.016913503,0.016913648,0.136512158,0.016913282,0.159526351,0.303213698,0.016913319,0.016913855,0.068049347,0.016913602,0.231217275,0.0,0.0,0.0,0.0,D,Non-metro,49025,6
3467,NM,New Mexico,Valencia County,1,64.0,1,0.010102329,0.010102483,0.010102535,0.342322052,0.010102477,0.010103215,0.010102457,0.010102533,0.010102592,0.010107706,0.566749692,0.0,0.6,4.3,14.4,D,Metro,76688,11
3468,NM,New Mexico,Valencia County,1,64.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.132414892,0.0,0.0,0.809106588,0.0,0.6,4.3,14.4,D,Metro,76688,11
3469,NM,New Mexico,Valencia County,22,64.0,3,0.159813336,0.081241329,0.03843368,0.057932473,0.077107891,0.056237101,0.025214381,0.029251677,0.056901939,0.031703697,0.351184009,0.0,0.6,4.3,14.4,D,Metro,76688,11
3470,MT,Montana,Valley County,4,60.5,3,0.037802075,0.006090297,0.041095722,0.062353111,0.178004576,0.052661084,0.201053042,0.161018775,0.096031924,0.032502417,0.104102771,0.0,6.8,14.5,27.1,A,Non-metro,7396,7
3471,MI,Michigan,Van Buren County,8,67.5,3,0.040034557,0.096192943,0.176374026,0.007730593,0.101475996,0.044855467,0.036380661,0.070268651,0.263108391,0.025592022,0.114201513,0.0,6.4,13.4,27.2,C,Metro,75677,9
3472,TX,Texas,Van Zandt County,1,68.0,2,0.0,0.0,0.11664287,0.0,0.416266143,0.0,0.209629342,0.0,0.204359576,0.0,0.0,0.0,0.0,0.0,0.0,C,Non-metro,56590,5
3473,TX,Texas,Van Zandt County,1,68.0,3,0.166244343,0.0,0.0,0.0,0.0,0.128445521,0.0,0.65333873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,Non-metro,56590,8
3474,NC,North Carolina,Vance County,6,83.0,3,0.02778361,0.008479745,0.00848024,0.032448326,0.03280717,0.118501088,0.07215258,0.232567321,0.187831571,0.128437422,0.122885089,0.0,10.6,16.8,25.1,D,Non-metro,44535,8
3475,IN,Indiana,Vanderburgh County,20,76.0,2,0.058110005,0.055688027,0.064340591,0.050539543,0.077803951,0.050795617,0.009410849,0.255949708,0.165048323,0.021749822,0.164402587,0.0,11.5,20.0,30.6,C,Metro,181451,8
3476,IN,Indiana,Vanderburgh County,95,76.0,3,0.047455232,0.089003867,0.046593348,0.152346651,0.08131457,0.092560563,0.072504973,0.108475652,0.160444333,0.030652078,0.092014845,0.0,11.5,20.0,30.6,C,Metro,181451,9
3477,PR,Puerto Rico,Vega Alta Municipio,4,85.0,3,0.027464332,0.027464523,0.107020866,0.154336123,0.02746407,0.02746453,0.027464408,0.027464084,0.427052072,0.027464969,0.11934003,0.0,3.7,7.1,13.4,C,Metro,36061,9
3478,PA,Pennsylvania,Venango County,5,73.0,3,0.04778297,0.004619023,0.095828704,0.004618799,0.00461898,0.240496959,0.130789633,0.055990806,0.274336549,0.004619083,0.110888431,0.0,5.2,11.6,17.8,B,Non-metro,50668,9
3479,CA,California,Ventura County,27,13.0,1,0.080737273,0.028772996,0.041349425,0.066494971,0.069887027,0.112532322,0.046413328,0.102707309,0.328608923,0.077287147,0.031875503,0.0,6.5,15.5,30.8,B,Metro,846006,9
3480,CA,California,Ventura County,64,13.0,2,0.071261783,0.057575451,0.049230563,0.07744948,0.076350276,0.079609097,0.064872138,0.080845759,0.165671119,0.117535013,0.137634796,0.0,6.5,15.5,30.8,B,Metro,846006,9
3481,CA,California,Ventura County,508,13.0,3,0.093751288,0.0553391,0.080815139,0.078273999,0.084274178,0.090547218,0.068577095,0.075072086,0.157076953,0.074624875,0.119554663,0.0,6.5,15.5,30.8,B,Metro,846006,9
3482,IL,Illinois,Vermilion County,1,78.0,2,0.174547881,0.0,0.0,0.0,0.0,0.0,0.0,0.343543142,0.109630369,0.0,0.336904556,0.0,5.8,14.7,23.2,D,Metro,75758,8
3483,IL,Illinois,Vermilion County,4,78.0,3,0.058326909,0.073637354,0.11287252,0.092577705,0.072123211,0.050912559,0.034394476,0.12005718,0.232914856,0.066135476,0.059616182,0.0,5.8,14.7,23.2,D,Metro,75758,9
3484,LA,Louisiana,Vermilion Parish,4,73.0,3,0.101158677,0.011363052,0.096024197,0.011363392,0.149979542,0.116508164,0.28912686,0.011363918,0.163085917,0.011363409,0.011363391,0.0,4.8,8.0,16.5,D,Metro,59511,7
3485,IN,Indiana,Vermillion County,1,76.0,3,0.0,0.290847808,0.0,0.0,0.0,0.238014787,0.319254845,0.0,0.0,0.098807678,0.0,0.0,6.4,14.9,24.0,B,Metro,15498,7
3486,MO,Missouri,Vernon County,9,80.0,3,0.029051881,0.122670819,0.036188215,0.131685745,0.065177972,0.043509822,0.144705923,0.035461455,0.036944891,0.080865447,0.23988389,0.0,4.5,10.0,20.0,B,Non-metro,20563,11
3487,LA,Louisiana,Vernon Parish,2,75.0,3,0.0,0.037143145,0.076767534,0.046826478,0.075105861,0.113887399,0.151283339,0.0,0.143468902,0.0,0.313007601,0.0,4.8,9.3,15.8,C,Non-metro,47429,11
3488,TX,Texas,Victoria County,1,64.0,1,0.030516107,0.030507997,0.365253776,0.030507997,0.030508546,0.030507997,0.030507997,0.030507997,0.030507997,0.030507997,0.360165626,0.0,0.0,0.0,0.0,D,Metro,92084,3
3489,TX,Texas,Victoria County,35,64.0,3,0.0931757,0.037096962,0.074041625,0.102531954,0.133731322,0.097043492,0.059042546,0.068367641,0.18679451,0.048651264,0.081340156,0.0,0.0,0.0,0.0,D,Metro,92084,9
3490,PR,Puerto Rico,Vieques Municipio,2,84.0,2,0.00649409,0.062758749,0.006494176,0.159832567,0.25324929,0.006494081,0.0064942,0.006494078,0.006494213,0.281720132,0.186153924,0.0,0.0,38.4,52.8,A,Non-metro,8386,10
3491,IN,Indiana,Vigo County,2,79.0,2,0.158070515,0.01515072,0.015150119,0.015150161,0.015150158,0.015150117,0.01515014,0.015150229,0.015150121,0.562988222,0.124663762,0.0,7.9,17.1,25.4,C,Metro,107038,10
3492,IN,Indiana,Vigo County,33,79.0,3,0.068973528,0.042552035,0.041671571,0.030575679,0.136369838,0.137145006,0.112611579,0.022841251,0.220604639,0.029754371,0.13844153,0.0,7.9,17.1,25.4,C,Metro,107038,9
3493,FL,Florida,Volusia County,6,68.0,1,0.283675286,0.112766668,0.008479227,0.244373395,0.051077695,0.069634254,0.018033734,0.028779506,0.008478939,0.121431898,0.036635647,0.0,8.4,14.6,27.7,C,Metro,553284,1
3494,FL,Florida,Volusia County,57,68.0,2,0.208662471,0.0723583,0.053331483,0.150832174,0.026730484,0.064370727,0.048139761,0.063274873,0.074635208,0.10346041,0.114056402,0.0,8.4,14.6,27.7,C,Metro,553284,1
3495,FL,Florida,Volusia County,465,68.0,3,0.10453697,0.073602419,0.063093835,0.095873614,0.077938267,0.078914771,0.069465908,0.081267844,0.07947874,0.086057774,0.16531195,0.0,8.4,14.6,27.7,C,Metro,553284,11
3496,IL,Illinois,Wabash County,1,69.5,3,0.012989657,0.01298989,0.012989783,0.012989492,0.012989769,0.327003807,0.012989816,0.012989961,0.402938277,0.166139394,0.012990152,0.0,9.2,21.2,32.1,B,Non-metro,11520,9
3497,IN,Indiana,Wabash County,1,71.0,1,0.0,0.23320505,0.0,0.0,0.0,0.0,0.0,0.0,0.692390382,0.0,0.0,0.0,7.3,17.9,23.6,B,Non-metro,30996,9
3498,IN,Indiana,Wabash County,1,71.0,2,0.01136437,0.01136409,0.011364404,0.011364937,0.011364706,0.01136429,0.011364582,0.011364064,0.886355996,0.011364268,0.011364251,0.0,7.3,17.9,23.6,B,Non-metro,30996,9
3499,IN,Indiana,Wabash County,6,71.0,3,0.087047414,0.081326578,0.066889866,0.058186973,0.068067523,0.115114592,0.128150523,0.127338809,0.22567348,0.008480105,0.008479913,0.0,7.3,17.9,23.6,B,Non-metro,30996,9
3500,MN,Minnesota,Wabasha County,1,48.0,3,0.109135941,0.070891418,0.0,0.0,0.225940645,0.171149731,0.0,0.0,0.163485646,0.0,0.237739131,0.0,11.7,23.5,44.8,A,Metro,21627,11
3501,OK,Oklahoma,Wagoner County,1,60.5,1,0.015154086,0.015154303,0.015154731,0.015154042,0.015155713,0.015155143,0.366371155,0.015154518,0.015156135,0.015154111,0.497236073,0.0,7.9,14.3,26.2,B,Metro,81289,11
3502,OK,Oklahoma,Wagoner County,1,60.5,3,0.030305648,0.030305453,0.03030544,0.030305477,0.030308224,0.355367631,0.030306475,0.371873856,0.030307004,0.030305466,0.030309344,0.0,7.9,14.3,26.2,B,Metro,81289,8
3503,NC,North Carolina,Wake County,38,32.0,1,0.069114778,0.055032952,0.026302014,0.118930032,0.057945206,0.184210886,0.056098395,0.063339639,0.176130326,0.086944017,0.089754782,0.0,7.5,15.7,34.0,B,Metro,1111761,6
3504,NC,North Carolina,Wake County,88,32.0,2,0.10697898,0.058752708,0.04646481,0.055420582,0.083169209,0.143799436,0.035657523,0.07733089,0.090640399,0.094968713,0.175789521,0.0,7.5,15.7,34.0,B,Metro,1111761,11
3505,NC,North Carolina,Wake County,940,32.0,3,0.077986442,0.074211083,0.074564793,0.08109737,0.087556694,0.111769417,0.080167191,0.08466543,0.133120359,0.055775101,0.11227764,0.0,7.5,15.7,34.0,B,Metro,1111761,9
3506,FL,Florida,Wakulla County,1,61.0,2,0.0,0.0,0.094981626,0.0,0.258884758,0.0,0.250955582,0.23440887,0.0,0.0,0.121786781,0.0,9.6,15.4,23.0,B,Metro,33739,5
3507,FL,Florida,Wakulla County,2,61.0,3,0.022731164,0.022731185,0.379942402,0.022731164,0.378249329,0.022733647,0.022731164,0.022731204,0.02273332,0.022731164,0.022732252,0.0,9.6,15.4,23.0,B,Metro,33739,3
3508,ME,Maine,Waldo County,1,58.5,2,0.529762506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101372212,0.302736342,0.0,0.0,5.9,16.2,31.8,A,Non-metro,39715,1
3509,AL,Alabama,Walker County,2,80.5,2,0.009092072,0.009091573,0.009091545,0.19317602,0.145851846,0.009091561,0.208394021,0.009091537,0.163972387,0.009092051,0.209780991,0.0,5.9,10.9,18.6,C,Metro,63521,11
3510,AL,Alabama,Walker County,5,80.5,3,0.181836772,0.00623509,0.006235127,0.006235036,0.139850776,0.165313121,0.042489501,0.108250241,0.214106248,0.006235139,0.087398565,0.0,5.9,10.9,18.6,C,Metro,63521,9
